area,round,Bare Date,Herb Date,Days Apart
delta_1,2024_r2,19913,19913,0
delta_2,2024_r2,19914,19914,0
delta_3,2024_r2,19942,19927,15
delta_4,2024_r2,19947,19928,19
surrey,2024_r2,19941,19941,0
pittmeadows,2024_r2,19997,19997,0
